Player,Ballers Rank,ADP,Projected Pts.,Risk,Tier,Vid,Tiers,Notes
Will Fuller HOU (9),67,14.04,75.67,7.2,TIER 8,,TIER 8,"A pretty cushy landing spot for Fuller. On the Texans he won't have to carry the burden like Coleman or Treadwell right out the gate. He can let Hopkins draw the coverage while Fuller goes to work. The upside for Fuller, the team looks to have gone all in on a higher powered offense bringing in Miller/Osweiler/Fuller. The downside, Fuller has been compared to Ted Ginn...."
Brandon LaFell CIN (9),71,0.00,68,5,TIER 8,,TIER 8,"After a very strong season with the Patriots, there were actually some expectations for Lafell last year. Unfortunately he started the season on unable to play due to injury. When he finally got on the field, things were unpleasant to say the least. The Panthers version of LaFell showed up, and he was shown the door following the end of the season. He's got another opportunity with the Bengals, who have a pretty strong need in the WR area. Speaking for fantasy, it seems unlikely he will have an impact besides a couple touchdowns here and there."
Andrew Hawkins CLE (13),72,0.00,75.83,5,TIER 8,,TIER 8,
Josh Doctson WAS (9),73,14.04,75.97,6,TIER 8,,TIER 8,"A surprise pick for Washington in the draft. The team wasn't considered to be WR needy, so the fact they took Doctson here speaks loudly of their belief in the player. He has a few roadblocks in front of him for this season, namely DJax and Pierre Garcon. However, there is a possibility of one of those veterans being cut before the season, or being sat in favor of the explosive rookie."
Bruce Ellington SF (8),74,14.01,71.83,5,TIER 8,,TIER 8,"Bruce Ellington has had rave reviews in early training camp and is a clear starter for the Chip Kelley offense. With more plays being run per game in a Chip Kelley offense, and the absense of Anquan Bolden, there is an opportunity for some wide receiver to step up and make an impact on fantasy."
Terrelle Pryor CLE (13),66,0.00,81.5,8,TIER 9,,TIER 9,Pryor is an under the radar player who probably won't be drafted in most leagues. But his althetic ability is elite even by NFL standards and his opportunity might be as good as anyone in the league to break out. You could do a lot worse than taking a flier on Pryor at the back of your draft for high upside.
,,0.00,0.00,0.00,TIER 9,,TIER 9,
,,0.00,0.00,0.00,TIER 9,,TIER 9,
Jaelen Strong HOU (9),75,0.00,55.83,6.5,TIER 9,,TIER 9,Strong flashed a bit towards the end of last season. The flash wasn't enough to stop the Texans from spending their first round pick on a WR as well as taking Braxton Miller in the 3rd. Throw on top of that an offseason arrest for marijuana and Strong could find himself on the bench for a long time.
Jermaine Kearse SEA (5),76,0.00,56.17,3.25,TIER 9,,TIER 9,"Kearse went looking for a contract in free agency, but ended up back with Seattle. The positive: Kearse's numbers have steadily increased each season. The negative: Kearse could see himself behind Tyler Lockett in the pecking order."
Michael Thomas NO (5),77,12.02,71.43,6.7,TIER 9,,TIER 9,"Another rookie that hit the jackpot for a landing spot. When you play WR for the Saints, you have to be just awful at your job to have no fantasy value. Brees is still one of the top QBs in the league, and the Saints offense lets him gun it. Thomas will have to beat out Brandon Coleman to have any kind of real playing time this year, but there's a better chance of that happening than not."
Victor Cruz NYG (8),78,12.09,53.33,8.5,TIER 9,,TIER 9,"Cruz is now a few years removed from his horrifying primetime knee injury. He had said he was going to return last year until a calf injury ended up holding him out for the season. He says he will be ready to go this season, but is still working out on the side of practice. He's an interesting pick if he actually plays, but his return remains to be seen."
Brandon Coleman NO (5),79,0.00,66.5,6.83,TIER 9,,TIER 9,"Coleman gained some buzz as a rookie for the Saints, with Graham leaving town and Colston slowing down. Unfortunately, he was only able to put up 450 yards and two touchdowns. He fell clearly behind Willie Snead. Now Coleman has highly drafted rookie Michael Thomas coming into camp to take his spot. What you can't take away from Coleman is his 6'6"", 225lb frame."
Danny Amendola NE (9),80,0.00,65,6.67,TIER 9,,TIER 9,"The backup to Julian Edelman had a series of very solid games last season. But anyone expecting anything more from Amendola is in for disappointment as that is all he is. Not really worth a roster spot with Edelman healthy, to a must start if Edelman goes down."
"Anquan Boldin, FA",81,14.01,45.23,5,TIER 9,,TIER 9,
Eddie Royal CHI (9),82,0.00,42.83,4.5,TIER 9,,TIER 9,"Things lined up well for Royal last year. A return to the QB that made him fantasy relevant, and an injury to rookie Kevin White oppened up a lot of possible playing time. Royal was unable to do much with the time he had and then dealt with his own injuries. The magic isn't going ot return for Royal."
Chris Conley KC (5),83,0.00,42.27,4.5,TIER 9,,TIER 9,
Albert Wilson KC (5),84,0.00,30.5,3,TIER 9,,TIER 9,
Davante Adams GB (4),85,14.07,35.5,6,TIER 9,,TIER 9,"To quote Jason Moore, ""He STINKS!"". It's hard to come to any other conclusion after watching Adams last year. To be fair, he wasn't getting true WR1 help from Cobb, and the run game was a disaster with Eddie Lacy. So perhaps he was a victim of circumstance. It won't be surprising to see Green Bay go a different direction with the offense and show Adams to the bench."
Jamison Crowder WAS (9),86,0.00,27.83,2,TIER 9,,TIER 9,
Steve Johnson SD (11),87,0.00,0.00,0.00,TIER 9,,TIER 9,Stevie Johnson is a guy we like around here and wish he could stay healthy. Sad to see him missing the 2016 season.
Cole Beasley DAL (7),87,0.00,26.17,4,TIER 9,,TIER 9,
Kenny Stills MIA (8),89,0.00,21,5,TIER 9,,TIER 9,
Devin Smith NYJ (11),90,0.00,18.17,5,TIER 9,,TIER 9,
Justin Hardy ATL (11),91,0.00,18.5,3,TIER 9,,TIER 9,
Ty Montgomery GB (4),92,0.00,13.67,5,TIER 9,,TIER 9,
"Roddy White, FA",93,0.00,0.00,0.00,TIER 9,,TIER 9,
"Malcom Floyd, FA",94,0.00,0.00,0.00,TIER 9,,TIER 9,
Cody Latimer DEN (11),94,0.00,9.5,4,TIER 9,,TIER 9,
"Marques Colston, FA",96,0.00,0.00,0.00,TIER 9,,TIER 9,
"James Jones, FA",97,0.00,0.00,0.00,TIER 9,,TIER 9,
Philly Brown CAR (7),98,0.00,0.00,0.00,TIER 9,,TIER 9,
Marqise Lee JAC (5),99,0.00,0.00,0.00,TIER 9,,TIER 9,
Kenny Britt LA (8),100,0.00,0.00,0.00,TIER 9,,TIER 9,
Brian Quick LA (8),101,0.00,0.00,0.00,TIER 9,,TIER 9,
Nate Washington NE (9),102,0.00,0.00,0.00,TIER 9,,TIER 9,
Cecil Shorts HOU (9),103,0.00,0.00,0.00,TIER 9,,TIER 9,
"Andre Johnson, FA",104,0.00,0.00,0.00,TIER 9,,TIER 9,
Charles Johnson MIN (6),105,0.00,0.00,0.00,TIER 9,,TIER 9,
Jarius Wright MIN (6),106,0.00,0.00,0.00,TIER 9,,TIER 9,
"Dwayne Bowe, FA",107,0.00,0.00,0.00,TIER 9,,TIER 9,
"Jerricho Cotchery, FA",108,0.00,0.00,0.00,TIER 9,,TIER 9,
"Reggie Wayne, FA",109,0.00,0.00,0.00,TIER 9,,TIER 9,
"Stedman Bailey, LA",110,0.00,0.00,0.00,TIER 9,,TIER 9,
"Greg Jennings, FA",111,0.00,0.00,0.00,TIER 9,,TIER 9,
Taylor Gabriel CLE (13),112,0.00,0.00,0.00,TIER 9,,TIER 9,
Josh Huff PHI (4),113,0.00,0.00,0.00,TIER 9,,TIER 9,
Cordarrelle Patterson MIN (6),114,0.00,0.00,0.00,TIER 9,,TIER 9,
"Brian Hartline, FA",115,0.00,0.00,0.00,TIER 9,,TIER 9,
